Date,Products,Cost,Revenue,Profit
19-02-2016,Tires and Tubes,80,109,29
20-02-2016,Gloves,49,57,8
27-02-2016,Tires and Tubes,11,15,4
12-03-2016,Tires and Tubes,175,233,58
12-03-2016,Tires and Tubes,105,125,20
08-04-2016,Tires and Tubes,66,78,12
17-04-2016,Tires and Tubes,104,120,16
17-04-2016,Tires and Tubes,60,68,8
22-06-2016,Tires and Tubes,16,20,4
22-06-2016,Tires and Tubes,5,6,1
24-06-2016,Helmets,35,42,7
01-07-2016,Tires and Tubes,120,146,26
22-07-2016,Tires and Tubes,92,120,28
22-07-2016,Tires and Tubes,9,10,1
18-08-2015,Helmets,455,544,89
30-08-2015,Tires and Tubes,210,218,8
17-09-2015,Tires and Tubes,385,439,54
17-09-2015,Tires and Tubes,145,173,28
17-09-2015,Helmets,630,638,8
24-09-2015,Tires and Tubes,64,74,10
24-09-2015,Helmets,980,1079,99
07-10-2015,Tires and Tubes,125,136,11
07-10-2015,Helmets,35,36,1
07-10-2015,Tires and Tubes,430,452,22
07-10-2015,Tires and Tubes,66,69,3
13-10-2015,Tires and Tubes,750,820,70
20-10-2015,Tires and Tubes,120,141,21
20-10-2015,Tires and Tubes,125,130,5
20-10-2015,Helmets,140,143,3
01-11-2015,Tires and Tubes,385,427,42
01-11-2015,Tires and Tubes,115,130,15
01-11-2015,Helmets,455,510,55
15-11-2015,Tires and Tubes,56,65,9
15-11-2015,Tires and Tubes,326,371,45
15-11-2015,Tires and Tubes,44,45,1
15-12-2015,Helmets,560,538,-22
16-12-2015,Tires and Tubes,587,641,54
16-12-2015,Tires and Tubes,4,4,0
16-12-2015,Helmets,420,472,52
20-12-2015,Tires and Tubes,551,606,55
20-12-2015,Tires and Tubes,120,120,0
20-12-2015,Helmets,630,624,-6
25-12-2015,Tires and Tubes,65,72,7
25-12-2015,Tires and Tubes,1015,1168,153
25-12-2015,Tires and Tubes,32,33,1
29-12-2015,Tires and Tubes,110,125,15
29-12-2015,Helmets,490,499,9
22-07-2015,Bike Stands,636,677,41
10-10-2015,Bike Stands,477,512,35
11-06-2016,Mountain Bikes,769,875,106
13-08-2015,Mountain Bikes,2295,2242,-53
10-09-2015,Mountain Bikes,769,776,7
20-10-2015,Mountain Bikes,2320,2010,-310
21-12-2015,Mountain Bikes,2295,2303,8
27-07-2015,Hydration Packs,1595,1626,31
07-02-2016,Mountain Bikes,540,565,25
24-07-2015,Mountain Bikes,2320,2160,-160
20-03-2016,Jerseys,300,353,53
21-03-2016,Jerseys,750,985,235
06-05-2016,Jerseys,400,493,93
06-06-2016,Fenders,264,286,22
09-06-2016,Jerseys,600,768,168
20-08-2015,Jerseys,400,483,83
21-08-2015,Jerseys,1188,1139,-49
27-09-2015,Jerseys,150,159,9
27-01-2016,Cleaners,199,252,53
25-01-2016,Helmets,140,155,15
26-01-2016,Helmets,175,218,43
20-05-2016,Helmets,105,120,15
26-07-2015,Helmets,245,279,34
06-12-2015,Helmets,420,458,38
24-06-2016,Socks,135,158,23
05-10-2015,Socks,54,61,7
18-07-2015,Mountain Bikes,2295,2146,-149
25-07-2015,Mountain Bikes,2320,2030,-290
04-12-2015,Mountain Bikes,2295,1884,-411
16-07-2015,Caps,216,228,12
14-08-2015,Bike Stands,1590,1588,-2
28-12-2015,Bike Stands,1113,1297,184
26-03-2016,Mountain Bikes,769,873,104
24-05-2016,Touring Bikes,742,751,9
08-07-2015,Mountain Bikes,2320,2340,20
13-07-2015,Mountain Bikes,769,707,-62
08-08-2015,Mountain Bikes,2320,2340,20
25-12-2015,Mountain Bikes,2320,2095,-225
29-08-2015,Bike Stands,954,1049,95
16-01-2016,Hydration Packs,495,559,64
20-02-2016,Hydration Packs,770,1003,233
31-07-2015,Hydration Packs,715,752,37
13-02-2016,Bottles and Cages,120,156,36
07-07-2016,Bottles and Cages,85,108,23
08-07-2016,Bottles and Cages,210,272,62
16-07-2015,Bottles and Cages,65,67,2
16-07-2015,Bottles and Cages,250,287,37
16-07-2015,Jerseys,1242,1313,71
04-09-2015,Jerseys,972,1071,99
06-09-2015,Bottles and Cages,50,53,3
22-10-2015,Bottles and Cages,189,179,-10
22-10-2015,Bottles and Cages,20,21,1
21-12-2015,Jerseys,150,159,9
13-07-2015,Mountain Bikes,2295,2154,-141
16-07-2015,Mountain Bikes,2295,2137,-158
13-02-2016,Tires and Tubes,96,105,9
22-03-2016,Tires and Tubes,100,113,13
03-05-2016,Tires and Tubes,48,56,8
20-05-2016,Tires and Tubes,60,71,11
28-06-2016,Tires and Tubes,50,54,4
03-07-2016,Tires and Tubes,140,185,45
03-07-2016,Tires and Tubes,40,48,8
08-08-2015,Tires and Tubes,870,1023,153
08-08-2015,Tires and Tubes,5,6,1
08-08-2015,Tires and Tubes,2,2,0
27-10-2015,Tires and Tubes,250,259,9
27-10-2015,Tires and Tubes,27,29,2
31-10-2015,Tires and Tubes,490,520,30
31-10-2015,Tires and Tubes,85,94,9
31-10-2015,Tires and Tubes,37,41,4
02-12-2015,Tires and Tubes,15,17,2
02-12-2015,Tires and Tubes,1050,1111,61
10-01-2016,Helmets,70,88,18
13-01-2016,Helmets,105,131,26
27-02-2016,Helmets,35,40,5
16-08-2015,Helmets,910,928,18
17-11-2015,Helmets,105,113,8
29-07-2015,Mountain Bikes,2295,2213,-82
29-07-2015,Hydration Packs,440,509,69
29-07-2015,Mountain Bikes,2295,2115,-180
29-07-2015,Bottles and Cages,230,250,20
29-07-2015,Bottles and Cages,15,15,0
13-07-2015,Mountain Bikes,2295,2218,-77
30-09-2015,Vests,64,61,-3
14-07-2015,Mountain Bikes,2320,2155,-165
08-10-2015,Mountain Bikes,769,769,0
12-07-2015,Hydration Packs,825,959,134
01-08-2015,Hydration Packs,385,425,40
21-10-2015,Hydration Packs,715,804,89
17-12-2015,Hydration Packs,605,675,70
04-04-2016,Mountain Bikes,769,815,46
02-04-2015,Mountain Bikes,2049,1808,-241
22-08-2015,Mountain Bikes,2295,2297,2
25-08-2015,Mountain Bikes,2320,2046,-274
13-05-2016,Vests,191,237,46
09-10-2015,Vests,64,58,-6
26-11-2015,Vests,1524,1725,201
16-04-2016,Socks,207,265,58
27-03-2016,Hydration Packs,330,413,83
20-07-2015,Hydration Packs,165,177,12
05-11-2015,Hydration Packs,110,127,17
28-03-2016,Gloves,686,718,32
05-01-2016,Tires and Tubes,210,271,61
07-02-2016,Tires and Tubes,70,91,21
07-02-2016,Tires and Tubes,40,47,7
01-03-2016,Tires and Tubes,60,66,6
01-03-2016,Tires and Tubes,770,991,221
01-03-2016,Tires and Tubes,16,23,7
08-07-2016,Tires and Tubes,116,130,14
08-07-2016,Helmets,910,1156,246
20-07-2016,Tires and Tubes,60,72,12
20-07-2016,Tires and Tubes,37,47,10
13-09-2015,Tires and Tubes,420,442,22
05-10-2015,Tires and Tubes,52,59,7
11-02-2016,Tires and Tubes,105,127,22
11-02-2016,Tires and Tubes,35,42,7
11-04-2016,Tires and Tubes,36,48,12
11-04-2016,Tires and Tubes,64,82,18
18-04-2016,Tires and Tubes,80,95,15
18-04-2016,Tires and Tubes,870,1020,150
20-04-2016,Tires and Tubes,20,28,8
26-04-2016,Tires and Tubes,16,18,2
04-05-2016,Tires and Tubes,85,107,22
04-05-2016,Tires and Tubes,525,624,99
29-05-2016,Tires and Tubes,315,390,75
10-07-2016,Tires and Tubes,455,480,25
10-07-2016,Tires and Tubes,16,21,5
24-07-2016,Tires and Tubes,12,16,4
24-07-2016,Tires and Tubes,2,3,1
01-11-2015,Tires and Tubes,32,35,3
01-11-2015,Tires and Tubes,64,72,8
15-12-2015,Tires and Tubes,1015,1121,106
15-12-2015,Tires and Tubes,75,72,-3
15-12-2015,Tires and Tubes,270,268,-2
15-12-2015,Tires and Tubes,110,113,3
15-12-2015,Tires and Tubes,69,85,16
19-12-2015,Tires and Tubes,193,216,23
05-10-2015,Vests,191,213,22
26-01-2016,Mountain Bikes,2320,2450,130
07-04-2016,Road Bikes,1701,1865,164
09-08-2015,Mountain Bikes,2295,2111,-184
09-08-2015,Socks,153,144,-9
10-11-2015,Mountain Bikes,2295,2233,-62
29-11-2015,Mountain Bikes,2320,2320,0
05-01-2016,Touring Bikes,742,791,49
08-01-2016,Touring Bikes,742,765,23
03-05-2016,Mountain Bikes,769,735,-34
03-05-2016,Mountain Bikes,769,777,8
03-05-2016,Caps,144,166,22
09-05-2016,Touring Bikes,742,774,32
09-05-2016,Caps,9,11,2
14-07-2015,Mountain Bikes,2320,2314,-6
06-09-2015,Caps,117,124,7
13-10-2015,Mountain Bikes,2295,2339,44
10-06-2016,Gloves,661,809,148
24-04-2016,Gloves,318,376,58
27-03-2016,Bike Racks,1080,1333,253
21-01-2016,Bike Stands,954,1235,281
02-01-2016,Fenders,286,380,94
31-01-2016,Hydration Packs,1485,1852,367
01-03-2016,Hydration Packs,1210,1512,302
05-09-2015,Hydration Packs,495,593,98
06-03-2016,Helmets,805,948,143
12-03-2016,Helmets,140,149,9
07-04-2016,Helmets,420,504,84
18-04-2016,Helmets,420,456,36
14-05-2016,Helmets,350,432,82
13-06-2016,Helmets,805,1004,199
03-07-2016,Helmets,1050,1302,252
13-08-2015,Helmets,105,114,9
27-08-2015,Helmets,315,345,30
18-09-2015,Helmets,560,621,61
08-11-2015,Helmets,105,108,3
02-12-2015,Helmets,630,723,93
09-08-2015,Tires and Tubes,770,787,17
09-08-2015,Tires and Tubes,105,113,8
18-08-2015,Hydration Packs,1540,1662,122
01-05-2016,Tires and Tubes,140,171,31
01-05-2016,Tires and Tubes,14,16,2
27-07-2016,Tires and Tubes,41,47,6
19-07-2015,Tires and Tubes,550,627,77
19-07-2015,Tires and Tubes,9,11,2
15-06-2016,Cleaners,111,129,18
29-03-2016,Helmets,105,129,24
10-04-2016,Road Bikes,540,606,66
05-06-2016,Touring Bikes,742,677,-65
05-06-2016,Helmets,105,135,30
13-01-2015,Mountain Bikes,2049,1869,-180
15-01-2015,Mountain Bikes,2071,1947,-124
31-07-2015,Mountain Bikes,2295,2239,-56
31-07-2015,Helmets,525,520,-5
05-12-2015,Touring Bikes,742,658,-84
09-03-2016,Fenders,637,856,219
15-01-2016,Tires and Tubes,30,37,7
15-01-2016,Tires and Tubes,100,138,38
29-01-2016,Tires and Tubes,70,80,10
29-01-2016,Tires and Tubes,60,73,13
02-04-2016,Tires and Tubes,425,508,83
02-04-2016,Tires and Tubes,44,54,10
25-08-2015,Tires and Tubes,37,36,-1
03-09-2015,Tires and Tubes,510,595,85
03-09-2015,Tires and Tubes,145,147,2
02-10-2015,Tires and Tubes,385,414,29
07-12-2015,Tires and Tubes,595,651,56
07-12-2015,Tires and Tubes,135,157,22
13-01-2016,Fenders,659,790,131
12-02-2016,Fenders,440,510,70
17-01-2016,Cleaners,207,275,68
09-01-2016,Gloves,147,164,17
17-01-2016,Gloves,588,837,249
18-01-2016,Helmets,525,648,123
26-01-2016,Helmets,910,1141,231
04-02-2016,Tires and Tubes,163,203,40
04-02-2016,Tires and Tubes,28,33,5
19-03-2016,Tires and Tubes,125,174,49
19-03-2016,Gloves,24,32,8
23-03-2016,Tires and Tubes,87,101,14
23-03-2016,Tires and Tubes,135,163,28
13-04-2016,Tires and Tubes,50,62,12
13-04-2016,Tires and Tubes,23,25,2
14-04-2016,Tires and Tubes,319,397,78
18-04-2016,Tires and Tubes,717,892,175
18-04-2016,Tires and Tubes,16,20,4
21-04-2016,Caps,189,235,46
26-04-2016,Tires and Tubes,225,275,50
26-04-2016,Tires and Tubes,75,84,9
08-05-2016,Helmets,140,190,50
01-06-2016,Caps,81,94,13
11-06-2016,Tires and Tubes,28,33,5
11-06-2016,Tires and Tubes,228,321,93
11-06-2016,Gloves,539,643,104
22-06-2016,Tires and Tubes,60,72,12
22-06-2016,Helmets,700,769,69
17-07-2016,Caps,135,163,28
12-08-2015,Tires and Tubes,140,169,29
12-08-2015,Helmets,700,712,12
12-08-2015,Caps,171,190,19
11-09-2015,Tires and Tubes,300,317,17
27-10-2015,Tires and Tubes,754,907,153
27-10-2015,Tires and Tubes,25,27,2
30-10-2015,Helmets,1015,1016,1
24-11-2015,Tires and Tubes,625,682,57
24-11-2015,Tires and Tubes,135,158,23
24-11-2015,Tires and Tubes,64,72,8
07-12-2015,Caps,216,245,29
10-12-2015,Tires and Tubes,24,24,0
26-12-2015,Caps,270,256,-14
20-02-2016,Touring Bikes,2384,2792,408
20-02-2016,Tires and Tubes,493,629,136
20-02-2016,Tires and Tubes,40,52,12
20-02-2016,Tires and Tubes,18,20,2
20-02-2016,Bike Stands,954,965,11
20-02-2016,Caps,153,155,2
01-05-2016,Touring Bikes,2384,2292,-92
01-05-2016,Helmets,525,633,108
01-05-2016,Caps,135,172,37
02-07-2015,Helmets,315,353,38
06-10-2015,Tires and Tubes,90,124,34
06-10-2015,Tires and Tubes,700,666,-34
06-10-2015,Helmets,875,684,-191
06-10-2015,Jerseys,1134,1086,-48
13-11-2015,Touring Bikes,742,602,-140
13-11-2015,Tires and Tubes,580,572,-8
13-11-2015,Tires and Tubes,75,77,2
13-11-2015,Helmets,350,275,-75
